term_str,n,p,i,n_chars,max_pos,n_pos,stem_porter,stem_snowball,stem_lancaster,stop,df,idf,dfidf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max,pos_group,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
black,74,0.00016703798759855806,12.5475361433903,5,JJ,2,black,black,black,0,17,0.08246216019197297,1.4018567232635406,0.33901110301144444,6.102199854206,0.3298486407678919,0.8246216019197297,JJ,0,0,0,0,0,1,0,1,0,0,-1
witch,73,0.00016478071749587484,12.567164950139233,5,NNP,4,witch,witch,witch,0,10,0.8479969065549501,8.4799690655495,3.439098565472853,61.903774178511355,0.8479969065549501,44.943836047412354,NN,1,0,1,1,0,1,0,0,0,0,-1
harry,73,0.00016478071749587484,12.567164950139233,5,NNP,1,harri,harri,harry,0,4,2.169925001442312,8.679700005769249,8.800251394738266,158.4045251052888,0.0,82.45715005480787,NN,1,0,0,0,0,1,0,1,0,0,-1
sin,72,0.00016252344739319162,12.587064507576939,3,NN,8,sin,sin,sin,0,16,0.16992500144231237,2.718800023076998,0.6797000057692496,12.234600103846493,0.5097750043269371,2.2090250187500606,NN,1,0,1,1,0,1,0,1,0,0,-1
strength,71,0.0001602661772905084,12.607242389514568,8,NN,2,strength,strength,strength,0,17,0.08246216019197297,1.4018567232635406,0.3252674096461156,5.854813373630081,0.24738648057591892,0.8246216019197297,NN,0,0,0,0,0,0,1,0,0,1,1
confess,70,0.0001580089071878252,12.627706492074283,7,VB,7,confess,confess,confess,0,18,0.0,0.0,0.0,0.0,0.0,0.0,VB,0,0,0,0,0,1,1,0,0,1,0
hate,69,0.00015575163708514197,12.64846505224108,4,NN,4,hate,hate,hat,0,17,0.08246216019197297,1.4018567232635406,0.316104947402563,5.689889053246135,0.24738648057591892,1.0720080824956486,NN,1,0,1,1,0,1,0,1,0,0,-1
grow,68,0.00015349436698245875,12.669526667768912,4,VB,4,grow,grow,grow,0,17,0.08246216019197297,1.4018567232635406,0.3115237162807868,5.607426893054162,0.3298486407678919,0.6596972815357838,VB,0,1,0,0,1,0,1,0,0,1,1
spirits,68,0.00015349436698245875,12.669526667768912,7,NNS,4,spirit,spirit,spirit,0,17,0.08246216019197297,1.4018567232635406,0.3115237162807868,5.607426893054162,0.3298486407678919,0.5772351213438108,NN,0,1,0,0,1,0,1,0,1,0,1
slave,68,0.00015349436698245875,12.669526667768912,5,NN,6,slave,slave,slav,0,16,0.16992500144231237,2.718800023076998,0.6419388943376245,11.55490009807724,0.5097750043269371,2.3789500201923732,NN,1,0,0,1,0,1,0,1,0,0,-1
saint,68,0.00015349436698245875,12.669526667768912,5,NNP,2,saint,saint,saint,0,14,0.36257007938470837,5.075981111385917,1.369709188786676,24.654765398160166,0.7251401587694167,5.075981111385917,NN,0,1,0,0,1,0,1,0,1,1,1
